Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
28/07/2016,"APT 5 ST BRENDANS COURT, ST BRENDANS AVE, WOODQUAY",Galway,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2016,"TULLA, EMLY, TIPPERARY",Tipperary,,"€142,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2016,"303B THE BEECH, GRANGE HALL, RATHFARNHAM DUBLIN 16",Dublin,,"€223,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2016,"23 TEMPLEROE SHANBALLYMORE, MALLOW, CORK",Cork,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"COOLNAGURRANE, SKIBBEREEN, CORK",Cork,,"€157,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2016,"40 SOUTH BAY POINT, ROSSLARE, CO. WEXFORD",Wexford,,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2016,"9 The Bay, Elm Park, Merrion Road",Dublin,,"€478,860.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2016,"900 Sarto Lawn, Sutton",Dublin,,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2016,"FOTA VIEW, OLD CHURCH ROAD, PASSAGEWEST",Cork,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2016,"13 WHITEPOINT MOORINGS, WHITEPOINT, COBH",Cork,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2016,"79 HILL OF DOWN HOUSE, SPENCER DOCK, DUBLIN 1",Dublin,,"€325,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
15/12/2016,"APT 214H, THE ISLAND, CHAPELIZOD",Dublin,,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2016,"79 BRAYTON PARK, KILCOCK, KILDARE",Kildare,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2016,"142 CAPEL ST, DUBLIN 1, DUBLIN",Dublin,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"43 Cul Na Greine, Kilrane",Wexford,,"€154,185.02",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/06/2016,"103 GLEANN ALAINN, TULLYALLEN, DROGHEDA",Louth,,"€258,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"DERRY OAK COTTAGE, DERRYCASTLE, BALLINA",Tipperary,,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"Apartment No 63, Hampton Wood Avenue, Hampton Wood",Dublin,D11A8F7,"€184,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/03/2016,"LAHANAGHT, DRINAGH, CO CORK",Cork,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2016,"328 SUTTON PARK, SUTTON, DUBLIN 13",Dublin,,"€510,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2016,"APARTMENT 23 CASTLE ELMS COURT, GREENCASTLE ROAD, COOLOK",Dublin,,"€177,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/12/2016,"Apt 61 Weaver's Hall, The Gallops, Sandyford",Dublin,,"€387,665.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
05/01/2016,"2 TAYLEURS POINT, RUSH, DUBLIN",Dublin,,"€414,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/02/2016,"CHAPEL HILL, SLANE, MEATH",Meath,,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2016,"14 ARDFALLEN RD, DOUGLAS RD, CORK",Cork,,"€372,250.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2016,"APT 3, DUNKEN HOUSE, GRATTON ST",Cork,,"€96,250.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2016,"31 BELLEVUE HEIGHTS, GREYSTONES, WICKLOW",Wicklow,,"€516,320.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2016,"31 ASHGROVE, FORTUNESTOWN LANE, TALLAGHT",Dublin,,"€231,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2016,"71 ST MOBHI RD, DUBLIN 9, DUBLIN",Dublin,,"€585,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2016,"8 COLBERT TERRACE, ABBEYFEALE, LIMERICK",Limerick,,"€13,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/04/2016,"52 THE FAIRWAYS, SEABROOK MANOR, STATION RD",Dublin,,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2016,"APT10, 12-14 MERVILLE AVE, FAIRVIEW",Dublin,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2016,"7 BEVERTON WOOD, DONABATE, DUBLIN",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2017,"1A SOUTH DOCK ST, RINGSEND, DUBLIN 4",Dublin,,"€422,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2017,"26 SKEHANORE, DOUGLAS, CORK",Cork,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"17 OCASEY HALL, COLLEGEWOOD, CASTLEKNOCK",Dublin,,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"7 BRACKENBUSH RD, KILLINEY, DUBLIN",Dublin,,"€542,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2017,"49 SPRINGFIELD CRESCENT, ROSSMORE VILLAGE, TIPPERARY",Tipperary,,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2017,"69 KILBARRON PARK, COOLOCK DUBLIN 5, DUBLIN",Dublin,,"€231,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2017,"KNOCKNARUSH, BOYLE, CO.ROSCOMMON",Roscommon,,"€237,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"23 PHOENIX VIEW, ST LAURENCES RD, CHAPELIZOD",Dublin,,"€257,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2017,"524S, LONGBOAT QUAY SOUTH, SIR JOHN ROGERSONS QUAY",Dublin,,"€540,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/05/2017,"APT.45 - WICKLOW COURT, GEORGES STREET, DUBLIN 2",Dublin,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"2 Castlechurch Park, Newcastle, Co. Dublin",Dublin,,"€334,801.76",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/05/2017,"17 Roseland Avenue, Cualanor, Upper Glenageary Road",Dublin,,"€713,998.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
30/03/2017,"1 Kilheale Park, Kilheale Manor, Kill",Kildare,,"€277,533.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/01/2017,"CASTLEINEY, TEMPLEMORE, TIPPERARY",Tipperary,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/04/2017,"45 RIVERSIDE RISE, RUSHBROOKE LINKS, COBH",Cork,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2017,"12 CLARINDA COURT, DUN LAOGHAIRE, CO DUBLIN",Dublin,,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/04/2017,"13 GRACE PARK GARDENS, DUBLIN",Dublin,,"€625,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2017,"28 CYPRESS RD, MOUNT MERRION, DUBLIN",Dublin,,"€792,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"20 LLEWELLYN CLOSE, RATHFARNHAM, DUBLIN 16",Dublin,,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"41 HOLLYBANK LAWN, CLONGOWEN, KILKENNY",Kilkenny,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2017,"9 Seagreen Avenue, Blacklion, Greystones",Wicklow,,"€356,828.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/05/2017,"3 THE MEADOWS, PROSPECT BALLYMONEY, WEXFORD",Wexford,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2017,"3 BEACH COTTAGE, DUGORT, MAYO",Mayo,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"31 WATERVILLE HALL, WATERVILLE TERRACE, WATERVILLE DUBLIN 15",Dublin,,"€231,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2017,"5 OSPRY PARK, ROOSKEY, CO LEITRIM",Leitrim,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2017,"60 LARKHILL RD, WHITEHALL, DUBLIN 9",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2017,"38  Ard na Greine, Mitchelstown",Cork,,"€190,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
24/05/2017,"APT 16, BARKER PLACE, 16-18 O'CONNELL ST",Waterford,,"€23,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2017,"4 CEANN BOIRNE, BALLYBANE RD, GALWAY",Galway,,"€141,363.64",No,No,Second-Hand Dwelling house /Apartment,
01/03/2017,"2 CURRAGH HALL WOOD, TYRRELSTOWN, DUBLIN 15",Dublin,,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2017,"BELFRY BRIDEWELL LANE, MA BRIDEWELL LANE, MALLOW",Cork,,"€37,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2017,"30 CANNON COURT, BRIDE ST, DUBLIN 8",Dublin,,"€387,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2017,"SHRONE WEST, LISTOWEL, KERRY",Kerry,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2017,"27 Dunville Park, Athlumney, Navan",Meath,,"€321,585.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/08/2017,"1 THE BUNGALOWS, PEARSE PARK, DUNDALK",Louth,,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"Number 62 The Drive, Piper's Hill, Killashee",Kildare,,"€321,585.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
29/08/2017,"BALLINLOUGH, KILMEENA, WESTPORT",Mayo,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"6 THORN CHASE, SKERRIES, RUSH",Dublin,,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2017,"9 THE LINKS HOLIDAY VILLAGE, LAHINCH, HOLIDAY VILLAGE",Clare,V95AK51,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2017,"40 KENILWORTH PARK, DUBLIN 6W, DUBLIN",Dublin,,"€581,250.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"26 THE GLEBE, DONEGAL",Donegal,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"8 Carlinn Heath, Mullaharlin Road, Dundalk",Louth,,"€222,467.10",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
02/10/2017,"KILLACOLLA, GLIN, LIMERICK",Limerick,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2017,"53 BERTRAM COURT, LAMB ALLEY, DUBLIN 8",Dublin,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2017,"2 FLOWER HILL, ROCKLANDS, CAVAN",Cavan,,"€217,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2017,"3 The Lawn, St. Marnock's Bay, Station Road",Dublin,,"€280,010.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/02/2017,"WAVECREST, CORNAGOWER, WICKLOW",Wicklow,,"€322,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2017,"3 SHANGLAS RD, BEAUMONT, DUBLIN 9",Dublin,,"€373,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2017,"9 Hawthorn Hill, Whitebrook, Pembrokestown",Wexford,,"€171,806.16",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/09/2017,"ST LOUIS, ORCHARD RD, CORK",Cork,,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2017,"28 Ryebridge Green, Kilcock",Kildare,,"€167,400.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/04/2017,"34 LOUISA PARK, STATION RD, LEIXLIP",Kildare,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2017,"COOLNAKNOCKANE, DROMCOLLOGHER, LIMERICK",Limerick,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2017,"41 HOPKINS HAVEN, MONASTEREVIN, KILDARE",Kildare,,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2017,"1 CHURCH VILLA, DUNMORE EAST, WATERFORD",Waterford,,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2017,"170 Kylemore, Old Schoolhouse Road, Monaleen",Limerick,,"€237,004.39",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/01/2017,"1 CASTLEFIELD DR, CASTLEFIELD MANOR, KNOCKLYON DUBLIN 16",Dublin,,"€565,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2017,"APT 4, DUN NA SI, RATHCORE GOLF CLUB",Meath,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2017,"61 ARDBAN, MUFF, DONEGAL",Donegal,,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/04/2017,"47 BEAUVALE PARK, BEAUMONT, DUBLIN 9",Dublin,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2017,"7 Churchfields, Ashbourne",Meath,,"€255,175.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
03/08/2017,"10 ROCHELLE, OLD BLACKROCK RD, CORK",Cork,,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2017,"15 CLONARD LAWN, DUNDRUM, DUBLIN 16",Dublin,,"€622,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2017,"112 GLANMIRE RD, CORK, CORK",Cork,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"APT 1, NEW RD, KILKENNY",Kilkenny,,"€80,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/02/2017,"91 AN CAISLEAN BALLINCOLLIG, BALLINCOLLIG, CORK",Cork,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2017,"APT 1 138, SANDFORD RD, RANELAGH DUBLIN 6",Dublin,,"€2,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2017,"ST CECELIAS, ABBEYLEIX RD, PORTLAOISE",Laois,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2017,"52 THE ROWAN, ROCKFIELD, DUNDRUM",Dublin,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2017,"2 longview square, millers glen, swords",Dublin,,"€290,748.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
15/12/2017,"ROSSAN LODGE, PRUCKLISH, NEWTOWNFORBES",Longford,,"€408,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/04/2017,"34 HAVELOCK SQ, SANDYMOUNT, DUBLIN 4",Dublin,,"€950,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2017,"52 SWEEDMOUNT PARK, DUNDRUM, DUBLIN 14",Dublin,,"€705,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2017,"129 AN DUICHE, SCALLAGHEON, CO TIPPERARY",Tipperary,,"€91,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2017,"26 SULLANE CRESCENT, RAHEEN HEIGHTS, LIMERICK",Limerick,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"9 ASHBROOK LAWN, ASHBROOK, ENNIS RD",Limerick,,"€217,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2017,"APT 31, FORBES QUAY APARTMENTS, SIR JOHN ROGERSON QUAY",Dublin,,"€491,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2017,"267 BLACKHORSE AVE, CABRA, DUBLIN 7",Dublin,,"€327,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2017,"14 PHOENIX COURT, CASTLEKNOCK, DUBLIN 15",Dublin,,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"4 BURNSIDE, SANTRY, DUBLIN 9",Dublin,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2017,"19 THE WEAVERS, MEATH PLACE, DUBLIN 8",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2017,"17 OAKFIELD CLOSE, GLANMIRE, CORK",Cork,,"€271,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/05/2017,"24 RUANBEG DR, KILDARE TOWN, KILDARE",Kildare,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/02/2017,"31 EMMET AVE, MERVUE, GALWAY",Galway,,"€193,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2017,"CASTLEFARM, MEATH",Meath,,"€126,563.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2017,"43 PALMBURY ORCHARD, TOGHER, CORK",Cork,,"€87,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2017,"14 The Park, Hansfield Wood, Hansfield",Dublin,,"€281,939.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
29/09/2017,"8 THE FAIRWAYS, BONNICONLON RD, BALLINA",Mayo,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2017,"7 Milltown Meadows, Ashbourne",Meath,,"€253,012.50",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/12/2017,"KILCRONAN WHITECHURCH, WHITECHURCH, CORK",Cork,,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"23 DUNVALE LAWN, FRANKFIELD, CORK",Cork,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2017,"1 MARINE CRESCENT, BLACKROCK COVE, BLACKROCK",Louth,,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2017,"186 OXMANTOWN RD, STONEYBATTER, DUBLIN 7",Dublin,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2017,"33 OBRIEN PARK, SHANNON, CLARE",Clare,,"€87,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"THE MALL, RAMELTON, DONEGAL",Donegal,,"€53,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2017,"221 CARLETON WHARF, YOUGHAL, CORK",Cork,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2017,"12, WATERVILLE HALL, BLANCHARDSTOWN",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2017,"6 NEWCOURT AVE, BRAY, WICKLOW",Wicklow,,"€649,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"APT 104 BLOCK D, KILMAINHAM BANK, EMMET RD DUBLIN 8",Dublin,,"€127,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2017,"3 Hawthorn Grove, Bird Avenue, Clonskeagh",Dublin,,"€339,207.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/05/2017,"17 Fairhaven Close, Castleknock, Dublin 15",Dublin,,"€546,254.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
24/04/2017,"10 BEECHLAWN HEIGHTS, BEECHLAWN, BALLINASLOE",Galway,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2017,"18 Meadowbrook, Tulsk",Roscommon,,"€78,686.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
18/07/2017,"35 KILLIANS CRESCENT, CARLOW, CO CARLOW",Carlow,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/02/2017,"BALLINATRAY, COURTOWN HARBOUR, GOREY",Wexford,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2017,"8 THE DOWNS, WILLOWGROVE, DELGANY",Wicklow,,"€555,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2017,"54 JOLLY MARINER, COOSAN RD, ATHLONE",Westmeath,,"€104,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2017,"5 BEACHFIELD MANOR, SCREEN, WEXFORD",Wexford,,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2017,"ARDANE, CLONBUR, GALWAY",Galway,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2017,"5 NORTH AVENUE, MATTHEW HILL, LEHENAGHMORE",Cork,,"€268,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2017,"10 LAVALLIN AVE, WHITECHURCH, CORK",Cork,,"€222,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2017,"34 The Crescent, Piper's Hill, Killashee",Kildare,,"€431,718.07",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/05/2017,"Funshog, Collon",Louth,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2017,"35 THE GREEN, MEADOWVALE, ARKLOW",Wicklow,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"13 GEORGIAN VILLAGE, CASTLEKNOCK, DUBLIN 15",Dublin,,"€2,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2017,"BALLYANIHAN, MITCHELSTOWN, COUNTY CORK",Cork,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2017,"4  Gleann Alainn, Downeen, Rosscarbery",Cork,,"€171,806.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/07/2017,"TINVAUN, STONEYFORD, KILKENNY",Kilkenny,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2017,"Apartment 89 The Hermitage, Balgriffin, Dublin 13",Dublin,,"€206,542.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/10/2017,"TRUMMON, LAGHEY, DONEGAL",Donegal,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2017,"21 AYREFIELD MANOR, CARRICK ON SHANNON, LEITRIM",Leitrim,,"€76,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2017,"1 ASHCROFT, CLOYNE, CORK",Cork,,"€70,319.00",Yes,No,Second-Hand Dwelling house /Apartment,
09/02/2017,"37 HERMITAGE RD, LUCAN, DUBLIN",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"UNIT NO. 138 THIRD FLOOR, NORTHBANK, CASTLEFORBES ROAD",Dublin,,"€338,346.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2017,"2 CLONLIFFE SQ, DISTILLERY RD, DRUMCONDRA DUBLIN 3",Dublin,,"€292,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"9 WOODFORD VIEW, BALLYCONNELL, CAVAN",Cavan,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2017,"6 PRIORY LODGE, ST RAPHAELS MANOR, CELBRIDGE",Kildare,,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2017,"87 SHELBOURNE VILLAGE, RINGSEND RD, DUBLIN 4",Dublin,,"€321,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2017,"3 DOON HOUSE, CLARINA, LIMERICK",Limerick,,"€322,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2017,"241 CASTLECURRAGH HEATH, CASTLECURRAGH, BLANCHARDSTOWN DUBLIN 15",Dublin,,"€248,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2017,"1 THE CRESCENT, BRIDE ST, LOUGHREA",Galway,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2017,"92 The Glebe, Church Road, Ballina",Mayo,,"€236,123.35",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
19/04/2017,"2 THE GRANARIES, CRANK ROAD, BANAGHER",Offaly,,"€28,375.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2017,"16 PRIORY CHASE, ST RAPHAELS MANOR, CELBRIDGE",Kildare,,"€507,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2017,"4 CONVENT HILL CRESCENT, BALLINA, CO MAYO",Mayo,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2017,"CARRIGALOE, COBH, CORK",Cork,,"€31,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2017,"15 LEIGH VALLEY, RATOATH, COUNTY MEATH",Meath,,"€239,739.58",No,No,Second-Hand Dwelling house /Apartment,
30/11/2017,"INISHCOGUE, THE NEALE, Ballinrobe",Mayo,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
