County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonth,Region
Kerry,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Dublin,615500.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN_OTHER
Donegal,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Kildare,179000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Cork,50152.49,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Clare,220000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Mayo,82000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Cork,261000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN_OTHER
Cork,280000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Longford,550000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Louth,154185.02,No,Yes,New Dwelling house /Apartment,2016,1,NON_DUBLIN
Dublin,500000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN3
Limerick,41694.44,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Sligo,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Cork,185022.0,No,Yes,New Dwelling house /Apartment,2016,5,NON_DUBLIN
Galway,172000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,220000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN3
Dublin,200000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Cork,47000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Wicklow,260000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Cork,183000.0,No,Yes,New Dwelling house /Apartment,2016,11,NON_DUBLIN
Cork,356000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Donegal,25000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,415000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Cork,30000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Wexford,86000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Louth,222466.0,No,Yes,New Dwelling house /Apartment,2016,2,NON_DUBLIN
Dublin,275000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN_OTHER
Dublin,285000.0,No,Yes,New Dwelling house /Apartment,2016,7,DUBLIN_OTHER
Limerick,221233.0,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,675500.0,No,Yes,New Dwelling house /Apartment,2016,7,DUBLIN_OTHER
Westmeath,196000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,305000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN7
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Limerick,237004.0,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Limerick,182000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Wicklow,360000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Kildare,396475.77,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Laois,145000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,545000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN_OTHER
Dublin,170000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN22
Clare,185000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Meath,170000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Leitrim,141000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Waterford,550000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Kildare,270000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Cork,230000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Clare,108000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Carlow,73000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Meath,225000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Waterford,70000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Limerick,37000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,507500.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN14
Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN4
Limerick,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Cork,229074.0,No,Yes,New Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,362500.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN15
Wicklow,500000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Kildare,370000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Dublin,475000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN14
Roscommon,115000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Kildare,616000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Kildare,267500.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Cavan,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Kerry,40000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Donegal,100000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,215000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN_OTHER
Galway,255000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Cork,230000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Cork,157500.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,92217.27,Yes,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN11
Galway,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Monaghan,146388.0,No,Yes,New Dwelling house /Apartment,2016,11,NON_DUBLIN
Clare,165000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Kildare,211453.74,No,Yes,New Dwelling house /Apartment,2016,11,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Cork,105000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Galway,55171.39,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,228844.09,No,Yes,New Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Kildare,285000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Galway,47000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,535000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,DUBLIN_OTHER
Laois,40000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Galway,154000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Dublin,308370.0,No,Yes,New Dwelling house /Apartment,2016,8,DUBLIN_OTHER
Carlow,76000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Cork,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Donegal,191000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Donegal,147000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,233480.18,No,Yes,New Dwelling house /Apartment,2016,8,DUBLIN16
Cork,125000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Wexford,55000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Cork,140000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Wexford,400000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Dublin,535000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Dublin,414096.91,No,Yes,New Dwelling house /Apartment,2016,5,DUBLIN16
Westmeath,112500.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Clare,165000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Tipperary,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,273000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,DUBLIN_OTHER
Mayo,10000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,195000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Cork,385000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Cork,188500.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Cork,195000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Tipperary,22300.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,235000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN24
Clare,48750.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Wexford,285000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Kerry,85000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Wexford,87500.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Cavan,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Sligo,130000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Laois,51000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Laois,150000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Kilkenny,152000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,367500.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,DUBLIN24
Clare,152000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Donegal,113000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Offaly,128000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Tipperary,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Galway,98268.74,No,Yes,New Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,DUBLIN7
Donegal,91000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Leitrim,25000.0,No,No,New Dwelling house /Apartment,2016,8,NON_DUBLIN
Tipperary,101321.58,No,Yes,New Dwelling house /Apartment,2016,8,NON_DUBLIN
Laois,80000.0,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,180000.0,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Limerick,150000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Dublin,175000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN_OTHER
Dublin,449339.2,No,Yes,New Dwelling house /Apartment,2016,6,DUBLIN_OTHER
Cork,176000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Waterford,148000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Roscommon,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Limerick,10983.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Cavan,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Westmeath,82000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Kildare,430000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Wexford,120000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Laois,139500.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Dublin,272643.17,No,Yes,New Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Dublin,335000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN14
Offaly,68000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,253000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,130000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,358000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN9
Dublin,557000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN14
Clare,215000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Offaly,41000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Waterford,65000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Donegal,49000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Westmeath,465000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Cork,198489.25,No,Yes,New Dwelling house /Apartment,2016,4,NON_DUBLIN
Dublin,625000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN13
Mayo,64000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,118000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN_OTHER
Limerick,285000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Dublin,268000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Dublin,416000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN16
Cork,200000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,292000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN5
Dublin,420000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN4
Clare,299000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Dublin,345000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN_OTHER
Kildare,80000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,111008.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN_OTHER
