County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonth,Region
Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN12
Sligo,62000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Cavan,55000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Limerick,174000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Cork,150000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Waterford,40000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,315000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN15
Wexford,124000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Mayo,55000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,165000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN24
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN14
Dublin,665000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN13
Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN_OTHER
Longford,115000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Offaly,112000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Clare,270000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Donegal,228000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Dublin,170000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,DUBLIN3
Westmeath,96000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Westmeath,28000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN6
Leitrim,87500.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,241500.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Dublin,246000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN_OTHER
Meath,190000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Dublin,135000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Dublin,370000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,DUBLIN13
Mayo,88000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN_OTHER
Dublin,336000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN_OTHER
Clare,263500.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Limerick,30000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,230000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Dublin,295464.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Dublin,405000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN15
Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Dublin,305000.0,No,Yes,New Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Wexford,123750.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Kildare,196000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Wicklow,150000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Louth,150000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Cork,65000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Wexford,120000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,305000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN24
Dublin,660000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN4
Cork,75000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Sligo,58000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Dublin,245500.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN_OTHER
Wicklow,376000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN14
Cork,220000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Donegal,190000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Meath,146000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Cork,222000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Clare,35000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Galway,36166.66,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Cork,200000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Westmeath,46500.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN_OTHER
Louth,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN_OTHER
Waterford,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Galway,186000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Cork,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Monaghan,120000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Dublin,258000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Kilkenny,70000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Wexford,27500.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Donegal,165000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,434000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN5
Sligo,398836.0,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,182000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Dublin,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN11
Dublin,191000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN10
Louth,75000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Limerick,77500.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Laois,115000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Waterford,90000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Dublin,675500.0,No,Yes,New Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Wexford,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,305727.0,No,Yes,New Dwelling house /Apartment,2016,11,DUBLIN15
Kildare,334800.0,No,Yes,New Dwelling house /Apartment,2016,11,NON_DUBLIN
Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN_OTHER
Limerick,110000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Dublin,545000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN5
Dublin,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN22
Donegal,205000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,157000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Offaly,145000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Limerick,243000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Carlow,162500.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Waterford,58500.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Wexford,152851.55,Yes,Yes,New Dwelling house /Apartment,2016,2,NON_DUBLIN
Clare,30000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Donegal,59123.8,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Limerick,175770.93,No,Yes,New Dwelling house /Apartment,2016,8,NON_DUBLIN
Monaghan,65000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Kildare,268723.0,No,Yes,New Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,123250.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,DUBLIN_OTHER
Cork,550000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Cork,230000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Galway,267000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Wicklow,195000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Dublin,455000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN3
Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN13
Clare,200000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Galway,140000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Tipperary,142000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,223000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN16
Cork,165000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,157500.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Wexford,177000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,478860.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN_OTHER
Dublin,420000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN_OTHER
Cork,150000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Cork,140000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,325000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN1
Dublin,212000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Kildare,230000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Dublin,280000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN1
Wexford,154185.02,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Louth,258000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Tipperary,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,184000.0,Yes,Yes,New Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Cork,220000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Dublin,510000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,DUBLIN13
Dublin,177500.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN_OTHER
Dublin,387665.0,No,Yes,New Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Dublin,414000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,DUBLIN_OTHER
Meath,218000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Cork,372250.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Cork,96250.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Wicklow,516320.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,231000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Dublin,585000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN9
Limerick,13000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,246000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN_OTHER
Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Dublin,422000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,DUBLIN4
Cork,210000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Dublin,542000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,DUBLIN_OTHER
Tipperary,117000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Dublin,231000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,DUBLIN5
Roscommon,237500.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Dublin,257000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,DUBLIN_OTHER
Dublin,540000.0,No,No,New Dwelling house /Apartment,2017,4,DUBLIN_OTHER
Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,DUBLIN2
Dublin,334801.76,No,Yes,New Dwelling house /Apartment,2017,12,DUBLIN_OTHER
Dublin,675500.0,No,Yes,New Dwelling house /Apartment,2017,5,DUBLIN_OTHER
Kildare,277533.04,No,Yes,New Dwelling house /Apartment,2017,3,NON_DUBLIN
Tipperary,60000.0,No,No,Second-Hand Dwelling house /Apartment,2017,1,NON_DUBLIN
Cork,220000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,NON_DUBLIN
Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,2017,11,DUBLIN_OTHER
Dublin,625000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,DUBLIN_OTHER
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,DUBLIN_OTHER
Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,DUBLIN16
Kilkenny,165000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,NON_DUBLIN
Wicklow,356828.0,No,Yes,New Dwelling house /Apartment,2017,6,NON_DUBLIN
Wexford,155000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Mayo,155000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Dublin,231000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,DUBLIN15
Leitrim,160000.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,NON_DUBLIN
Dublin,300000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,DUBLIN9
Cork,190000.0,No,Yes,New Dwelling house /Apartment,2017,9,NON_DUBLIN
Galway,141363.64,No,No,Second-Hand Dwelling house /Apartment,2017,6,NON_DUBLIN
Dublin,167000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,DUBLIN15
Cork,37000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,NON_DUBLIN
Dublin,387000.0,No,No,Second-Hand Dwelling house /Apartment,2017,11,DUBLIN8
Kerry,160000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Meath,321585.0,No,Yes,New Dwelling house /Apartment,2017,9,NON_DUBLIN
Louth,138000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,NON_DUBLIN
Kildare,321585.89,No,Yes,New Dwelling house /Apartment,2017,9,NON_DUBLIN
Mayo,150000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,NON_DUBLIN
Dublin,177000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,DUBLIN_OTHER
Clare,120000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Dublin,581250.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,DUBLIN_OTHER
Donegal,145000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Louth,222467.1,No,Yes,New Dwelling house /Apartment,2017,12,NON_DUBLIN
Limerick,120000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Dublin,180000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,DUBLIN8
Cavan,217500.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Dublin,280010.0,No,Yes,New Dwelling house /Apartment,2017,10,DUBLIN_OTHER
Wicklow,322000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Dublin,373000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,DUBLIN9
Wexford,171806.16,No,Yes,New Dwelling house /Apartment,2017,11,NON_DUBLIN
Cork,650000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,NON_DUBLIN
Kildare,167400.0,No,Yes,New Dwelling house /Apartment,2017,8,NON_DUBLIN
Kildare,195000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,NON_DUBLIN
Limerick,60000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,NON_DUBLIN
Kildare,212000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Waterford,375000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Limerick,237004.39,No,Yes,New Dwelling house /Apartment,2017,11,NON_DUBLIN
Dublin,565000.0,No,No,Second-Hand Dwelling house /Apartment,2017,1,DUBLIN16
Meath,180000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Donegal,82000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Dublin,280000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,DUBLIN9
Meath,255175.0,No,Yes,New Dwelling house /Apartment,2017,2,NON_DUBLIN
Cork,305000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,NON_DUBLIN
Dublin,622500.0,No,No,Second-Hand Dwelling house /Apartment,2017,11,DUBLIN16
Cork,115000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,NON_DUBLIN
Cork,195000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Laois,165000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Dublin,340000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,DUBLIN_OTHER
Longford,408500.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,DUBLIN4
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,DUBLIN14
Tipperary,91000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,NON_DUBLIN
Limerick,220000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Limerick,217500.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,NON_DUBLIN
Dublin,327500.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,DUBLIN7
Dublin,490000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,DUBLIN15
Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,DUBLIN9
Dublin,170000.0,No,No,Second-Hand Dwelling house /Apartment,2017,11,DUBLIN8
Cork,271000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Kildare,205000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Galway,193000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Meath,126563.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Cork,87000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,NON_DUBLIN
Dublin,281939.0,No,Yes,New Dwelling house /Apartment,2017,11,DUBLIN_OTHER
Mayo,150000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,NON_DUBLIN
Meath,253012.5,No,Yes,New Dwelling house /Apartment,2017,5,NON_DUBLIN
Cork,305000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Cork,300000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,NON_DUBLIN
Louth,246000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,NON_DUBLIN
Dublin,400000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,DUBLIN7
Clare,87500.0,No,No,Second-Hand Dwelling house /Apartment,2017,1,NON_DUBLIN
Donegal,53000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Cork,90000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Dublin,230000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,DUBLIN_OTHER
Wicklow,649000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Dublin,127500.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,DUBLIN8
Dublin,339207.04,No,Yes,New Dwelling house /Apartment,2017,9,DUBLIN_OTHER
Dublin,546254.0,No,Yes,New Dwelling house /Apartment,2017,5,DUBLIN15
Galway,105000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,NON_DUBLIN
Roscommon,78686.0,No,Yes,New Dwelling house /Apartment,2017,8,NON_DUBLIN
Carlow,80000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Wexford,280000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Wicklow,555000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Westmeath,104000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,NON_DUBLIN
Wexford,218000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,NON_DUBLIN
Galway,40000.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,NON_DUBLIN
Cork,268000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,NON_DUBLIN
Cork,222500.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Kildare,431718.07,No,Yes,New Dwelling house /Apartment,2017,6,NON_DUBLIN
Louth,30000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Wicklow,205000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,DUBLIN15
Cork,50000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Cork,171806.0,No,Yes,New Dwelling house /Apartment,2017,12,NON_DUBLIN
Kilkenny,295000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Dublin,206542.31,No,Yes,New Dwelling house /Apartment,2017,12,DUBLIN13
Donegal,230000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Leitrim,76500.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Cork,70319.0,Yes,No,Second-Hand Dwelling house /Apartment,2017,6,NON_DUBLIN
Dublin,310000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,DUBLIN_OTHER
Dublin,338346.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,DUBLIN_OTHER
Dublin,292000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,DUBLIN3
Cavan,70000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,NON_DUBLIN
Kildare,232000.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,NON_DUBLIN
Dublin,321000.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,DUBLIN4
Limerick,322000.0,No,No,Second-Hand Dwelling house /Apartment,2017,5,NON_DUBLIN
Dublin,248000.0,No,No,Second-Hand Dwelling house /Apartment,2017,8,DUBLIN15
Galway,140000.0,No,No,Second-Hand Dwelling house /Apartment,2017,1,NON_DUBLIN
Mayo,236123.35,No,Yes,New Dwelling house /Apartment,2017,8,NON_DUBLIN
Offaly,28375.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,NON_DUBLIN
Kildare,507500.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Mayo,70000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Cork,31000.0,No,No,Second-Hand Dwelling house /Apartment,2017,1,NON_DUBLIN
Meath,239739.58,No,No,Second-Hand Dwelling house /Apartment,2017,11,NON_DUBLIN
Mayo,90000.0,No,No,Second-Hand Dwelling house /Apartment,2017,11,NON_DUBLIN
Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,DUBLIN7
Westmeath,100000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Dublin,298425.0,No,Yes,New Dwelling house /Apartment,2017,5,DUBLIN_OTHER
Dublin,162269.57,No,No,Second-Hand Dwelling house /Apartment,2017,10,DUBLIN5
Clare,177000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Mayo,15000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Waterford,209000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Waterford,275000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Meath,304000.0,No,Yes,New Dwelling house /Apartment,2017,6,NON_DUBLIN
Kildare,195000.0,Yes,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Dublin,337363.64,No,Yes,New Dwelling house /Apartment,2017,10,DUBLIN_OTHER
Meath,226000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Galway,140969.16,No,Yes,New Dwelling house /Apartment,2017,5,NON_DUBLIN
Dublin,450000.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,DUBLIN18
Cavan,145000.0,No,No,Second-Hand Dwelling house /Apartment,2017,7,NON_DUBLIN
Cavan,93000.0,No,No,Second-Hand Dwelling house /Apartment,2017,11,NON_DUBLIN
Galway,135000.0,No,No,Second-Hand Dwelling house /Apartment,2017,3,NON_DUBLIN
Dublin,189000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,DUBLIN7
Meath,580000.0,No,No,Second-Hand Dwelling house /Apartment,2017,11,NON_DUBLIN
Leitrim,56000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Dublin,295100.0,No,Yes,New Dwelling house /Apartment,2017,7,DUBLIN_OTHER
Meath,230000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
Cork,190000.0,No,No,Second-Hand Dwelling house /Apartment,2017,9,NON_DUBLIN
Kildare,135000.0,No,No,Second-Hand Dwelling house /Apartment,2017,6,NON_DUBLIN
Cork,145000.0,No,No,Second-Hand Dwelling house /Apartment,2017,2,NON_DUBLIN
Louth,50000.0,No,No,Second-Hand Dwelling house /Apartment,2017,12,NON_DUBLIN
Cork,286000.0,No,No,Second-Hand Dwelling house /Apartment,2017,4,NON_DUBLIN
Louth,180000.0,No,No,Second-Hand Dwelling house /Apartment,2017,10,NON_DUBLIN
