Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonthIndex,Region_Encoded
550000.0,0,0,0,2016,10,139912.4143478261
270000.0,1,0,0,2016,8,247009.80948717947
230000.0,0,0,0,2016,3,198460.38056851312
108000.0,0,0,0,2016,2,139043.13263157895
73000.0,0,0,0,2016,4,129100.70456140352
225000.0,0,0,0,2016,10,221569.53396135266
70000.0,0,0,0,2016,5,139912.4143478261
37000.0,0,0,0,2016,9,138927.53039408868
507500.0,0,0,0,2016,4,486409.44936170214
325000.0,0,0,0,2016,9,471697.3477272727
160000.0,0,0,0,2016,5,138927.53039408868
229074.0,0,1,1,2016,5,198460.38056851312
362500.0,0,0,0,2016,3,289405.2858490566
500000.0,0,0,0,2016,5,302309.9607878788
370000.0,0,0,0,2016,2,247009.80948717947
475000.0,0,0,0,2016,3,486409.44936170214
115000.0,0,0,0,2016,10,92577.4161627907
616000.0,0,0,0,2016,11,247009.80948717947
267500.0,1,0,0,2016,2,247009.80948717947
155000.0,0,0,0,2016,11,99353.24882352941
40000.0,0,0,0,2016,7,149517.2112804878
100000.0,0,0,0,2016,9,106261.99716666665
215000.0,0,0,0,2016,10,357260.4677191011
255000.0,1,0,0,2016,7,169894.25173144878
230000.0,0,0,0,2016,4,198460.38056851312
157500.0,0,0,0,2016,8,198460.38056851312
92217.27,1,0,0,2016,10,206578.08441176472
50000.0,0,0,0,2016,8,169894.25173144878
146388.0,0,1,1,2016,11,126908.07854545455
165000.0,0,0,0,2016,2,139043.13263157895
211453.74,0,1,1,2016,11,247009.80948717947
675500.0,0,0,0,2016,11,357260.4677191011
105000.0,0,0,0,2016,8,198460.38056851312
55171.39,0,0,0,2016,6,169894.25173144878
228844.09,0,1,1,2016,11,357260.4677191011
285000.0,0,0,0,2016,10,247009.80948717947
47000.0,0,0,0,2016,6,169894.25173144878
535000.0,0,0,0,2016,1,357260.4677191011
40000.0,0,0,0,2016,12,124480.02530612245
154000.0,0,0,0,2016,7,169894.25173144878
308370.0,0,1,1,2016,8,357260.4677191011
76000.0,0,0,0,2016,9,129100.70456140352
155000.0,0,0,0,2016,3,198460.38056851312
191000.0,0,0,0,2016,5,106261.99716666665
147000.0,0,0,0,2016,5,106261.99716666665
233480.18,0,1,1,2016,8,376894.1872881356
125000.0,0,0,0,2016,4,198460.38056851312
55000.0,0,0,0,2016,5,140133.58445454546
140000.0,0,0,0,2016,1,198460.38056851312
400000.0,0,0,0,2016,11,140133.58445454546
535000.0,0,0,0,2016,9,357260.4677191011
414096.91,0,1,1,2016,5,376894.1872881356
112500.0,0,0,0,2016,10,121959.42273584906
165000.0,0,0,0,2016,8,139043.13263157895
50000.0,0,0,0,2016,9,142117.9899404762
273000.0,0,0,0,2016,7,357260.4677191011
10000.0,0,0,0,2016,12,101768.53846153847
195000.0,0,0,0,2016,9,198460.38056851312
385000.0,0,0,0,2016,5,198460.38056851312
188500.0,0,0,0,2016,2,198460.38056851312
195000.0,0,0,0,2016,5,198460.38056851312
22300.0,0,0,0,2016,8,142117.9899404762
235000.0,0,0,0,2016,10,239171.1843939394
48750.0,0,0,0,2016,5,139043.13263157895
285000.0,0,0,0,2016,12,140133.58445454546
85000.0,0,0,0,2016,1,149517.2112804878
87500.0,1,0,0,2016,10,140133.58445454546
50000.0,0,0,0,2016,12,99353.24882352941
130000.0,0,0,0,2016,2,115289.87640449438
675500.0,0,0,0,2016,11,357260.4677191011
51000.0,0,0,0,2016,12,124480.02530612245
150000.0,0,0,0,2016,4,124480.02530612245
152000.0,0,0,0,2016,12,178090.23692307694
367500.0,0,0,0,2016,7,239171.1843939394
152000.0,0,0,0,2016,4,139043.13263157895
113000.0,0,0,0,2016,11,106261.99716666665
128000.0,0,0,0,2016,5,130047.27415584415
50000.0,0,0,0,2016,9,142117.9899404762
98268.74,0,1,1,2016,5,169894.25173144878
320000.0,0,0,0,2016,1,287404.2686567164
91000.0,0,0,0,2016,10,106261.99716666665
25000.0,0,0,1,2016,8,78111.70800000001
101321.58,0,1,1,2016,8,142117.9899404762
80000.0,0,1,1,2016,12,124480.02530612245
180000.0,0,1,1,2016,10,198460.38056851312
150000.0,0,0,0,2016,5,138927.53039408868
250000.0,0,0,0,2016,9,357260.4677191011
175000.0,0,0,0,2016,10,357260.4677191011
449339.2,0,1,1,2016,6,357260.4677191011
176000.0,0,0,0,2016,4,198460.38056851312
148000.0,0,0,0,2016,11,139912.4143478261
160000.0,0,0,0,2016,8,92577.4161627907
10983.0,0,0,0,2016,4,138927.53039408868
50000.0,0,0,0,2016,7,99353.24882352941
675500.0,0,0,0,2016,12,357260.4677191011
82000.0,1,0,0,2016,1,121959.42273584906
430000.0,0,0,0,2016,10,247009.80948717947
120000.0,0,0,0,2016,6,140133.58445454546
139500.0,1,0,0,2016,7,124480.02530612245
272643.17,0,1,1,2016,3,357260.4677191011
335000.0,0,0,0,2016,9,486409.44936170214
68000.0,0,0,0,2016,12,130047.27415584415
253000.0,0,0,0,2016,12,198460.38056851312
130000.0,0,0,0,2016,9,198460.38056851312
358000.0,0,0,0,2016,5,340899.4952083333
557000.0,0,0,0,2016,12,486409.44936170214
215000.0,0,0,0,2016,10,139043.13263157895
41000.0,0,0,0,2016,6,130047.27415584415
65000.0,0,0,0,2016,6,139912.4143478261
49000.0,0,0,0,2016,8,106261.99716666665
675500.0,0,0,0,2016,9,357260.4677191011
465000.0,0,0,0,2016,8,121959.42273584906
198489.25,0,1,1,2016,4,198460.38056851312
625000.0,0,0,0,2016,9,350585.13441860466
64000.0,0,0,0,2016,10,101768.53846153847
118000.0,0,0,0,2016,2,357260.4677191011
285000.0,0,0,0,2016,1,138927.53039408868
268000.0,0,0,0,2016,9,357260.4677191011
416000.0,0,0,0,2016,8,376894.1872881356
200000.0,0,0,0,2016,6,198460.38056851312
292000.0,0,0,0,2016,6,321252.275
420000.0,0,0,0,2016,3,471697.3477272727
299000.0,0,0,0,2016,4,139043.13263157895
345000.0,0,0,0,2016,6,357260.4677191011
80000.0,1,0,0,2016,8,247009.80948717947
111008.0,0,0,0,2016,2,357260.4677191011
52000.0,0,0,0,2016,6,139912.4143478261
27750.0,0,0,0,2016,2,169894.25173144878
15000.0,0,0,0,2016,4,247009.80948717947
62000.0,0,0,0,2016,12,142117.9899404762
279295.15,0,1,1,2016,12,247009.80948717947
235000.0,0,0,0,2016,4,247009.80948717947
115000.0,0,1,1,2016,5,101768.53846153847
223000.0,0,0,0,2016,9,169894.25173144878
